"doc","totalwords","Headline","Year","Month","Day","NewsService","Byline"
"21","644","STAGE: 'HOUSE MUSIC' STUDIES GERMAN ATTITUDES","1981","November","26",NA,"RICHARD F. SHEPARD"
"22","342","OF ALIENS' CHILDREN, EDUCATION AND HYPOCRISY","1981","November","25",NA,NA
"23","108","Israeli's Trial Starts","1981","November","23",NA,NA
"24","503","BACKLOG GROWS ON ALIEN FILES","1981","November","23",NA,NA
"25","406","FUND SET UP TO HELP HAITIANS","1981","November","22",NA,NA
"26","1929","MIGRANT SLAVERY PERSISTS ON SOUTHEAST'S FARMS","1981","November","19",NA,"WENDELL RAWLS Jr., Special to the New York Times"
"27","370","AMERASIAN BOY PLEADS FOR EASED IMMIGRATION","1981","November","19",NA,NA
"28","473","REAGAN TO CHOOSE CALIFORNIAN TO RUN IMMIGRATION SERVICE","1981","November","18",NA,NA
"29","809","IMMIGRATION POST LOSES ITS NOMINEE","1981","November","13",NA,"ROBERT PEAR, Special to the New York Times"
"30","1054","ARGENTINES FLOCK ABROAD AS DREAMS OF RICHES DIE","1981","November","12",NA,"EDWARD SCHUMACHER, Special to the New York Times"
"31","1135","ROCKIES ADJUSTING TO A YOUTH BOOM","1981","November","12",NA,"WILLIAM E. SCHMIDT, Special to the New York Times"
"32","874","MEXICO'S REFUGEES FEAR CLAMPDOWN","1981","November","8",NA,"ALAN RIDING, Special to the New York Times"
"33","755","VIRGIN ISLANDS RESOUNDINGLY REJECT FOURTH DRAFT OF A CONSTITUTION","1981","November","5",NA,NA
"34","996","REAGAN'S MOVE TO CONTROL IMMIGRATION;","1981","November","4",NA,NA
"35","185","AROUND THE WORLD;","1981","November","3",NA,NA
"36","469","AUSTRALIA, UNDER NEW POLICY, IS SEEKING SKILLED AMERICANS","1981","November","2",NA,"BARBARA CROSSETTE, Special to the New York Times"
"37","1086","DECIDING HOW TO STOP HAITIANS- AND WHY","1981","November","1",NA,"STUART TAYLOR Jr."
"38","1311","Nonfiction in Brief","1981","November","1",NA,"Martha Bayles"
"39","1633","EXCERPTS FROM ATTORNEY GENERAL'S REMARKS ON PLANS OF JUSTICE DEPARTMENT","1981","October","30",NA,NA
"40","207","INTERDICTION POLICY DEFENDED","1981","October","29",NA,NA
"41","731","33 HAITIANS DROWN AS BOAT CAPSIZES OFF FLORIDA","1981","October","27",NA,"GREGORY JAYNES, Special to the New York Times"
"42","555","Mr. Reagan's Immigration Music","1981","October","26",NA,NA
"43","305","INDEX","1981","October","25",NA,NA
"44","590","IMMIGRATION REFORM","1981","October","24",NA,"William French Smith"
"45","848","SMITH SEES IMMIGRATION PLAN AS A MEANS TO AVERT BOATLIFTS","1981","October","23",NA,"STUART TAYLOR Jr., Special to the New York Times"
"46","202","AROUND THE NATION;","1981","October","22",NA,NA
"47","502","REAGAN TO REQUEST NEW ALIEN CURBS","1981","October","22",NA,NA
"48","130","AROUND THE NATION;","1981","October","15",NA,NA
"49","380","Two Pieces of I.D.","1981","October","14",NA,NA
"50","551","POWER OF CONGRESS TO VETO ACTION OF EXECUTIVE BRANCH FACES STUDY","1981","October","6",NA,"LINDA GREENHOUSE, Special to the New York Times"
"51","84","Fewer Jews Leaving Soviet","1981","October","5",NA,NA
"52","684","'BRACERO PROGRAM NO. 3","1981","October","5",NA,"Tom Miller"
"53","363","REAGAN TO NOMINATE FLORIDA AUTO DEALER TO IMMIGRATION POST","1981","September","29",NA,NA
"54","1301","HAITIAN REFUGEES STILL LANGUISHING AT FACILITY NEAR EVERGLADES","1981","September","23",NA,"GREGORY JAYNES, Special to the New York Times"
"55","552","Index","1981","September","23",NA,NA
"56","392","EX-FEDERAL AIDE GETS FOUR YEARS IN ABSCAM CASE","1981","September","23",NA,"JOSEPH P. FRIED"
"57","591","MUSIC: MERKIN HALL GALA","1981","September","23",NA,"EDWARD ROTHSTEIN"
"58","163","SECTION: Section 10; Page 26, Column 5; Travel Desk","1981","September","20",NA,NA
"59","960","IMMIGRATION CASE TAKING ODD TWIST","1981","September","15",NA,"WILLIAM ROBBINS, Special to the New York Times"
"60","775","UNTOLD STORY OF COAST IMMIGRATION CENTER UNFOLDS","1981","September","13",NA,NA
"61","168","Eight More Cuban Refugees Are Freed From U.S. Prison","1981","September","11",NA,NA
"62","558","IMMIGRATION AGENCY DELAYS HAITIAN DEPORTATION ACTION","1981","September","11",NA,"ROBERT PEAR, Special to the New York Times"
"63","486","OFFICE FIRE PUTS MARSHALL ISLES IN 'A REAL MESS'","1981","September","6",NA,"ROBERT TRUMBULL, Speci al to the New York Times"
"64","919","CENSUS TOTALS SHOW NATION IS DIVERSE AS NEVER BEFORE","1981","September","6",NA,"JOHN HERBERS"
"65","856","MEXICO, THE LATIN PIVO T;","1981","September","5",NA,NA
"66","704","U.S. TRANSFERS 120 HAITIANS TO PRISON IN NEW YORK STATE","1981","September","5",NA,"RAYMOND BONNER"
"67","753","U.S. SEEKS TO DEPORT 40 HAITIANS WHO LACK LEGAL REPRESENTATION","1981","August","31",NA,"RAYMOND BONNER"
"68","389","13 INDICTED FOR SMUGGLING 4,000 ILLEGAL ALIENS","1981","August","30",NA,NA
"69","666","40 HAITIANS ARE HELD UPSTATE UNDER RIGID CONTROL","1981","August","30",NA,"RAYMOND BONNER"
"70","1065","IMMIGRATION SERVICE REFUSES TO FREE 83 HAITIANS IN A FORMER NAVY PRISON IN","1981","August","28",NA,NA
"71","918","U.S. AND ISRAEL DISAGREE ON GIVING SOVIET CHOICE WHERE TO SETTLE","1981","August","26",NA,"BERNARD GWERTZMAN, Special to the New York Times"
"72","87","Jail for Ex-Immigration Aide","1981","August","26",NA,NA
"73","1542","CALIFORNIA BECOMES MELTING POT OF 1980'S","1981","August","23",NA,"ROBERT LINDSEY, Special to the New York Times"
"74","243","THE NATION;","1981","August","23",NA,NA
"75","500","The Last of Castro's Castoffs","1981","August","23",NA,NA
"76","1892","Practical Traveler;","1981","August","23",NA,NA
"77","757","17 CUBANS LACKING PAPERS RELEASED AFTER YEAR IN JAIL","1981","August","22",NA,"REGINALD STUART, Special to the New York Times"
"78","631","IMMIGRATION WORKERS PICKET TO URGE MORE AID AND STAFF","1981","August","22",NA,"ROBERT PEAR, Special to the New York Times"
"79","125","Haitians Land in Puerto Rico As Expulsion Hearings Start","1981","August","22",NA,NA
"80","90","Study Says 510,528 Israelis Emigrated in 10-Year Period","1981","August","20",NA,NA
"81","494","AGREEMENT REACHED TO FREE IRANIANS FROM UPSTATE PRISON","1981","August","20",NA,"LENA WILLIAMS, Special to the New York Times"
"82","571","INDIANS GRANTED DELAY ON OUSTER","1981","August","19",NA,"WILLIAM ROBBINS, Special to the New York Times"
"83","638","U.S. SET TO START HEARINGS FOR 1,800 JAILED CUBANS","1981","August","17",NA,"REGINALD STUART, Special to the New York Times"
"84","189","FOLLOW UP ON THE NEWS;","1981","August","16",NA,NA
"85","499","DEPORTATION HEARING IS SET FOR JAILED IRANIANS","1981","August","16",NA,NA
"86","614","INQUIRY IS ASKED IN SEIZURES OF 3 AS POLISH ALIENS","1981","August","14",NA,"MATTHEW L. WALD, Special to the New York Times"
"87","117","AROUND THE NATION;","1981","August","11",NA,NA
"88","906","U.S. IS FINDING THAT NO ONE WANTS TO ACCEPT LAST CUBAN REFUGEES","1981","August","9",NA,"ROBERT LINDSEY, Special to the New York Times"
"89","138","THE REGION;","1981","August","7",NA,NA
"90","834","UKRAINIAN BOY SEEKS PERMANENT U.S. RESIDENCY","1981","August","6",NA,"NATHANIEL SHEPPARD Jr., Special to the New York Times"
"91","467","IMMIGRATION OFFICE WORKERS TO RALLY AGAINST U.S. POLICY","1981","August","6",NA,NA
"92","648","ADVISER IN MEXICAN GOVERNMENT ASSAILS REAGAN IMMIGRATION PLAN","1981","August","5",NA,"ROBERT PEAR, Special to the New York Times"
"93","557","Index;","1981","August","5",NA,NA
"94","175","Other National Events;","1981","August","2",NA,NA
"95","539","'We've Lost Control of Our Borders'","1981","August","2",NA,NA
"96","1159","ACRIMONY CONTINUES OVER HAITIAN REFUGEES' FATE","1981","August","1",NA,"GREGORY JAYNES, Special to the New York Times"
"97","776","CRITICS ATTACK REAGAN ON IMMIGRATION REFORM","1981","August","1",NA,"JOHN M. CREWDSON, Special to the New York Times"
"98","503","OFFICIALS IN CITY GENERALLY BACK POLICY ON ALIENS","1981","August","1",NA,"RONALD SMOTHERS"
"99","1094","WHITE HOUSE ASKS A LAW TO BAR JOBS FOR ILLEGAL ALIENS","1981","July","31",NA,"ROBERT PEAR, Special to the New York Times"
"100","1288","PLAN ON IMMIGRATION immigration policy;","1981","July","31",NA,NA
"101","669","REAGAN'S STATEMENT ON IMMIGRATION","1981","July","31",NA,NA
"102","816","1980 CENSUS FINDS CHINESE SURPASSING JAPANESE AS NATION'S LARGEST ASIAN GROUP","1981","July","30",NA,"JOHN HERBERS"
"103","382","THE TWO KINDS OF 'FOREIGNERS' AMONG","1981","July","27",NA,NA
"104","2678","EXCERPTS FROM RULING BY FEDERAL JUDGE UPHOLDING THE ABSCAM CONVICTIONS","1981","July","25",NA,NA
"105","948","KENNEDY AIRPORT SEEKS TO CUT INSPECTION LINES","1981","July","25",NA,"DOROTHY J. GAITER"
"106","415","OUR MULTIPURPOSE LADY IN THE HARBOR","1981","July","23",NA,NA
"107","219","NOTES ON PEOPLE;","1981","July","23",NA,NA
"108","454","Bad Advice on Immigration","1981","July","21",NA,NA
"109","339","THE DOORS OF ISRAEL MUST REMAIN OPEN FOR ALL JEWS","1981","July","21",NA,NA
"110","814","IMMIGRATION POLICY MAY OMIT A WORKER-IDENTIFICATION CARD","1981","July","20",NA,"ROBERT PEAR, Special to the New York Times"
"111","645","HAITIANS ARRIVE IN BROOKLYN AND LAKE PLACID","1981","July","20",NA,"EDWARD A. GARGAN"
"112","574","THE HAITIANS AND WALRUS COURTS","1981","July","16",NA,NA
"113","792","AMERICA NEEDS FEWER IMMIGRANTS","1981","July","12",NA,"Richard D. Lamm"
"114","379","U.S. STOPS AIDE TO MOON SECT","1981","July","9",NA,"ROBERT PEAR, Special to the New York Times"
"115","143","Around the World;","1981","July","8",NA,NA
"116","632","U.S. SET TO GIVE 85 HAITIANS NEW IMMIGRATION HEARINGS","1981","July","7",NA,"ROBERT PEAR"
"117","85","225 Haitians Land in Florida","1981","July","6",NA,NA
"118","640","CROAT ACCUSED OF WAR CRIMES IS ORDERED DEPORTED","1981","July","2",NA,"CHARLES MOHR, Special to the New York Times"
"119","710","REAGAN ADVISED TO ADMIT MEXICANS AS GUEST WORKERS","1981","July","2",NA,"HOWELL RAINES, Special to the New York Times"
"120","662","CANADIANS HONOR 2 FROM MISSION IN IRAN","1981","June","28",NA,"HENRY GINIGER, Special to the New York Times"
"121","1059","HAITIANS' PLIGHT FRUSTRATING TO ALL SIDES","1981","June","28",NA,"JO THOMAS, Special to the New York Times"
"122","243","The National Archives","1981","June","28",NA,NA
"123","840","ACTION TO DEPORT SUN MYUNG MOON CALLED LIKELY BY JUSTICE DEPT. AIDE","1981","June","27",NA,"ROBERT PEAR, Special to the New York Times"
"124","655","SUN MYUNG MOON FOCUS OF MOON IMMIGRATION INQUIRY","1981","June","26",NA,"IRVIN MOLOTSKY, Special to the New York Times"
"125","130","Around the Nation;","1981","June","26",NA,NA
"126","212","Around the Nation;","1981","June","25",NA,NA
"127","591","Correction Appended","1981","June","24",NA,NA
"128","409","9,700 GRANTED U.S. CITIZENSHIP IN LOS ANGELES naturalization ceremony in nation","1981","June","23",NA,"ROBERT LINDSEY, Special to the New York Times"
"129","965","U.S. OFICIALS INVESTIGATING POSSIBLITY OF FRAUD IN IMMIGRATION OF KHOMEIMI","1981","June","22",NA,NA
"130","909","NEW WAYS TO CURB ILLEGAL ALIENS ARE ADVANCED BY 2 CONGRESSMEN","1981","June","22",NA,"ROBERT LINDSEY, Special to the New York Times"
"131","1681","A STORYTELLER'S STORY","1981","June","21",NA,NA
"132","685","L.I. MAN ACCUSED AT TRIAL OF NAZI PAST","1981","June","20",NA,"JOHN T. McQUISTON, Special to the New York Times"
"133","124","Cuban Slain at Atlanta Prison","1981","June","17",NA,NA
"134","538","PHILIPPINES EXPELLING U.S. PRIEST, APPARENTLY BECAUSE OF TEACHINGS","1981","June","16",NA,"HENRY KAMM, Special to the New York Times"
"135","70","MORE HAITIANS ARRIVE IN FLORIDA","1981","June","15",NA,NA
"136","634","SMITH URGES MIAMI BUSINESSMEN AS HEAD OF IMMIGRATION SERVICE","1981","June","13",NA,"ROBERT PEAR"
"137","743","MEXICO'S LEADER ENDS VISIT ON BRIGHT NOTE","1981","June","10",NA,"STEVEN R. WEISMAN, Special to the New York Times"
"138","388","U.S. PREPARES TO EXPEL 76 HAITIANS AFTER FINDING RIGHTS WERE HEEDED","1981","June","10",NA,NA
"139","953","SALVADORAN REFUGEES PURSUING NEW LIVES","1981","June","10",NA,NA
"140","383","U.S. DEPORTATIONS OF HAITIANS HALTED","1981","June","9",NA,"ROBERT PEAR, Special to the New York Times"
"141","235","PUTTING IMMIGRATION INTO PROPER FOCUS","1981","June","9",NA,NA
"142","196","PUTTING IMMIGRATION INTO PROPER FOCUS;","1981","June","9",NA,NA
"143","661","U.S. EXPECTING TALKS TO STRENGTHEN TIES WITH MEXICO","1981","June","8",NA,"STEVEN R. WEISMAN, Special to the New York Times"
"144","891","DEPORTATION OF HAITIANS FROM MIAMI CENTER ON RISE","1981","June","8",NA,NA
"145","427","HAITIAN REFUGEES IN MIAMI ARE WARNED OF IMMIGRATION ARREST THREAT","1981","June","7",NA,NA
"146","944","HAITIAN DEPORTATIONS START; U.S. ORDERS OPEN HEARINGS","1981","June","6",NA,"ROBERT PEAR, Special to the New York Times"
"147","119","Around the Nation;","1981","June","5",NA,NA
"148","1191","FUTURE UNCLEAR FOR REAGAN'S BOLD IMMIGRATION PLAN;","1981","June","1",NA,NA
"149","106","Quotation of the Day","1981","May","31",NA,NA
"150","908","RISE IN IMMIGRATION URGED FROM MEXICO AND CANADA","1981","May","30",NA,"ROBERT PEAR, Special to the New York Times"
"151","103","A Police Chief Says He Rejected Smith Plea on Immigration Post","1981","May","29",NA,NA
"152","200","Five Charged in Beating Of Refugees From Cuba","1981","May","29",NA,NA
"153","593","Index;","1981","May","27",NA,NA
"154","566","TV: 'CUBAN ODYSSEY,' REFUGEE DRAMA","1981","May","27",NA,"JOHN J. O'CONNOR"
"155","584","MULTIPLE CHOICE ON IMMIGRATION","1981","May","27",NA,NA
"156","937","PROGRAM ON ALIENS OFFERED TO REAGAN","1981","May","24",NA,"ROBERT PEAR, Special to the New York Times"
"157","789","REFUGEE POLICY;","1981","May","24",NA,NA
"158","588","FLAWED OPPOSITION TO A FOREIGN-WORKER PLAN","1981","May","21",NA,NA
"159","185","AROUND THE NATION;","1981","May","19",NA,NA
"160","1135","U.S. AIDES' UNCERTAINTY ON RULES IS KEEPING THOUSANDS IN ASIA REFUGEE CAMPS","1981","May","17",NA,"ROBERT PEAR"
"161","1906","IMMIGRANTS REVITALIZE CITY, BUT STRAIN ITS RESOURCES","1981","May","6",NA,"MICHAEL GOODWIN"
"162","714","VETO RULE ATTACKED BY ADMINISTRATION","1981","May","6",NA,"STUART TAYLOR Jr., Special to the New York Times"
"163","152","CBS Reporter Is Seized at Airport In Guatemala and Held Overnight","1981","May","3",NA,NA
"164","619","COMPLAINTS OF BIAS ON BORDER CONTROL UNDER INQUIRY","1981","May","3",NA,NA
"165","111","Cuban Refugee Site Sought","1981","May","3",NA,NA
"166","410","The Unluckiest Cubans","1981","May","2",NA,NA
"167","512","U.S. REVIEWS STAND ON DEPORTING ALIEN TROTSKYISTS","1981","May","1",NA,"ARNOLD H. LUBASCH"
"168","1168","REPORT ON REFUGEES URGES A CRACKDOWN","1981","April","28",NA,"ROBERT PEAR, Special to the New York Times"
"169","1656","YEAR LATER, 1,800 CUBANS WAIT IN U.S. JAILS","1981","April","27",NA,"PAUL L. MONTGOMERY, Special to the New York Times"
"170","679","NEW U.S. PASSPORTS TO BE ISSUED SOON","1981","April","19",NA,"RICHARD D. LYONS, Special to the New York Times"
"171","1098","The Talk of Virgin Islands;","1981","April","18",NA,NA
"172","977","POSTHUMOUS PULITZER GIVEN WRITER WHO COULDN'T GET NOVEL PUBLISHED","1981","April","14",NA,NA
"173","199","AROUND THE WORLD;","1981","April","13",NA,NA
"174","631","Japan Moves to Increase Rights of Korean Minority","1981","April","5",NA,NA
"175","453","ERODING IMMIGRATION POLICY","1981","April","4",NA,NA
"176","804","TAPE SHOWS WILLIAMS VOWING TO GIVE 'SHEIK' AID WITH IMMIGRATION","1981","April","3",NA,"JOSEPH P. FRIED"
"177","967","QUEBEC NATIONALISTS UNEXPECTEDLY SEEM TO BE LEADING IN PROVINCIAL RACE","1981","April","2",NA,NA
"178","146","Cubans Who Left Plane in Miami Won't Be Given Political Asylum","1981","April","2",NA,NA
"179","307","Headliners;","1981","March","29",NA,NA
"180","2200","A CARIBBEAN SAMPLER: THREE HOLIDAYS IN THE SUN","1981","March","29",NA,"JOSEPH HERRINGTON; JOSEPH HERRINGTON is head of the Times's"
"181","588","BILLS IN CONGRESS SEEK SHARP REDUCTION IN IMMIGRATION","1981","March","25",NA,"ROBERT PEAR, Special to the New York Times"
"182","2224","FRAUD TIED TO RISING VISA ABUSE BY VISITORS TO U.S.","1981","March","22",NA,"JOHN M. CREWDSON, Special to the New York Times"
"183","924","LEGISLATIVE VETOES FACE LEGAL ATTACK","1981","March","19",NA,"STUART TAYLOR Jr., Special to the New York Times"
"184","101","The City;","1981","March","19",NA,NA
"185","548","HOUSE JUDICIARY MEMBERS RESIST IMMIGRATION SERVICE BUDGET CUT","1981","March","12",NA,"ROBERT PEAR, Special to the New York Times"
"186","172","LOOKING BACKWARD, AND FORWARD;","1981","March","4",NA,NA
"187","2209","U.S. RETURNS ILLEGAL IMMIGRANTS WHO ARE FLEEING SALVADOR WAR","1981","March","2",NA,"JOHN M. CREWDSON, Special to the New York Times"
"188","905","AT STRATFORD FESTIVAL, HIRSCH WELCOMES TALENT THE WORLD OVER","1981","March","2",NA,"ANDREW H. MALCOLM, Special to the New York Times"
"189","1013","NOW UP FOR DEBATE, A CHAIN OF PROPOSALS ON ILLEGAL ALIENS","1981","March","1",NA,"ROBERT PEAR"
"190","599","Immigration and the Missing Nail","1981","March","1",NA,NA
"191","977","FIRST REVIEWS ON IMMIGRATION PROPOSALS: ENCOURAGING WORDS, UNCERTAIN PROSPECTS","1981","February","28",NA,"ROBERT PEAR"
"192","1053","PANEL ASKS RISE IN IMMIGRATION, WITH TIGHTER LAW ENFORCEMENT","1981","February","27",NA,"ROBERT PEAR, Special to the New York Times"
"193","1416","EXCERPTS FROM FINAL REPORT OF COMMISSION ON IMMIGRATION AND REFUGEE","1981","February","27",NA,NA
"194","216","A Federal Jury Indicts 2 In Immigration Scheme","1981","February","26",NA,NA
"195","103","U.S. Orders 21 Iranians to Leave","1981","February","26",NA,NA
"196","123","The City;","1981","February","20",NA,NA
"197","93","Israeli Quits Over Emigration","1981","February","19",NA,NA
"198","920","NO CHANGES SOUGHT ON EXCLUDING ALIENS","1981","February","15",NA,"ROBERT PEAR, Special to the New York Times"
"199","909","BRITAIN DEBATES IMMIGRATION AND RACE","1981","February","8",NA,"WILLIAM BORDERS, Special to the New York Times"
"200","211","AROUND THE NATION;","1981","February","7",NA,NA
"201","152","Miami Businessman, Cuba-Born, A Contender for Immigration Job","1981","February","7",NA,NA
"202","709","ILLEGAL ALIENS TERM 2,000 MILES IN LOCKED TRUCK 'HELL'","1981","February","4",NA,"PETER KIHSS"
"203","714","OFFICE IN BRONX SEIZE 84 PERSONS AS ILLEGAL ALIENS","1981","February","3",NA,"PETER KIHSS"
"204","321","IRVING S.K. CHIN, 50; SERVED RIGHTS UNIT","1981","February","1",NA,NA
"205","577","U.S. MOVES TO EXPEL GROUP OF HAITIANS","1981","January","31",NA,"ROBERT PEAR, Special to the New York Times"
"206","165","U.S. Keeping Curbs;","1981","January","30",NA,NA
"207","983","Antiques;","1981","January","25",NA,NA
"208","175","AROUND THE NATION;","1981","January","23",NA,NA
"209","239","AROUND THE NATION;","1981","January","23",NA,NA
"210","173","AROUND THE NATION;","1981","January","22",NA,NA
"211","161","52 WHO BECAME A NATIONAL SYMBOL;","1981","January","21",NA,NA
"212","128","Vesco May Stay in the Bahamas","1981","January","21",NA,NA
"213","175","'A TINGE OF ELITISM'","1981","January","19",NA,NA
"214","61","CORRECTION","1981","January","15",NA,NA
"215","268","Immigration Unit Backs New Identification Form","1981","January","15",NA,NA
"216","466","N.A.A.C.P. TO ASK REAGAN TO CALL PARLEY ON THE PLIGHT OF MINORITIES","1981","January","13",NA,"SHEILA RULE"
"217","207","THE NATION IN SUMMARY;","1981","January","11",NA,NA
"218","565","To Turn the Illegal Tide","1981","January","11",NA,NA
"219","565","To Turn the Illegal Tide","1981","January","11",NA,NA
"220","305","IMMIGRATION OFFICIAL SAYS CARTER'S BUDGET WILL CUT AGENCY STAFF","1981","January","9",NA,NA
"221","572","Index;","1981","January","9",NA,NA
"222","661","SCHEDULED AIR SERVICE FROM CHINA TO U.S. RESUMES","1981","January","8",NA,"WALLACE TURNER"
"223","180","AROUND THE NATION;","1981","January","8",NA,NA
"224","218","Bahamian Officials Order Vesco To Leave the Country by Jan. 20","1981","January","8",NA,NA
"225","647","ABSCAM TRIAL'S TAPE SHOWS LEDERER ACEPTING $50,000","1981","January","7",NA,"JOSEPH P. FRIED"
"226","266","Correction Appended","1981","January","7",NA,NA
"227","286","VESCO ASSERTS HE ISN'T IN HIDING","1981","January","4",NA,NA
"228","291","THE NATION;","1981","January","4",NA,NA
"229","1040","ISRAELI EMIGRATION INSPIRES ANGER AND FEAR","1981","January","4",NA,"HENRY KAMM"
"230","1913","THE OLD STARGAZER'S ALMANAC FOR 1981","1981","January","4",NA,NA
"231","424","TO STOP THE 'ANARCHY' IN U.S. IMMIGRATION","1982","December","28",NA,NA
"232","291","NEW YORK DAY BY DAY","1982","December","27",NA,"Robin Herman and Laurie Johnston"
"233","1267","WHAT THE HOUSE SAID IN NOT VOTING AN IMMIGRATION BILL;","1982","December","27",NA,NA
"234","1381","JOBLESSNESS TAKES TOLL ON CANADA'S POPULATION","1982","December","27",NA,"MICHAEL T. KAUFMAN, Special to the New York Times"
"235","204","AROUND THE NATION;","1982","December","24",NA,NA
"236","209","Oregon Guru Rebuffed in Bid On Permanent U.S. Residency","1982","December","24",NA,NA
"237","722","AN AFRICAN POET AT NORTHWESTERN LOSES A STEP IN DEPORTATION FIGHT","1982","December","22",NA,"NATHANIEL SHEPPARD Jr., Special to the New York Times"
"238","198","'Generous' Vote Tally;","1982","December","19",NA,NA
"239","892","DISCUSSION ENDED ON ALIENS MEASURE","1982","December","19",NA,"ROBERT PEAR, Special to the New York Times"
"240","237","THE WORLD;","1982","December","19",NA,NA
"241","232","AROUND THE NATION;","1982","December","18",NA,NA
"242","842","DEBATE IS HEATED OVER IMMIGRATION","1982","December","18",NA,"ROBERT PEAR, Special to the New York Times"
"243","438","THATCHER CABINET LOSES VOTE ON BILL","1982","December","17",NA,"JON NORDHEIMER, Special to the New York Times"
"244","880","HOUSE BEGINS ITS DEBATE ON IMMIGRATION BILL AS ADJOURNMENT NEARS","1982","December","17",NA,"ROBERT PEAR, Special to the New York Times"
"245","515","Immigration and Purity","1982","December","16",NA,NA
"246","169","AROUND THE WORLD;","1982","December","14",NA,NA
"247","603","SCHOLAR FACING OUSTER BY U.S. GETS HOPE","1982","December","12",NA,"JOHN HERBERS, Special to the New York Times"
"248","1024","A U.S. COURT RULING MAY HELP HAITIANS","1982","December","12",NA,"JOSEPH P. FRIED"
"249","780","U.S. DENIES ENTRANCE TO RUMANIAN GIRL","1982","December","12",NA,NA
"250","745","IMMIGRATION BILL IS CLEARED FOR HOUSE DEBATE","1982","December","9",NA,"ROBERT PEAR, Special to the New York Times"
"251","508","IMMIGRATION: DON'T IMPEDE NEEDED SPECIALISTS","1982","December","9",NA,NA
"252","952","PEKING IS TROUBLED BY RISE IN DEFECTIONS TO WEST","1982","December","5",NA,"RICHARD BERNSTEIN"
"253","408","Why Break the Immigration Clock?","1982","December","3",NA,NA
"254","692","DRIVE TO REVAMP IMMIGRATION LAW IS GAINING","1982","December","2",NA,"ROBERT PEAR, Special to the New York Times"
"255","1511","NEW JERSEY JOURNAL","1982","November","28",NA,"Albert J Parisi"
"256","299","AN EMBARRASSING U.S. QUARREL WITH A LATIN AMERICAN SCHOLAR","1982","November","26",NA,NA
"257","683","U.S. IS URGED TO LET STRANDED POLES STAY","1982","November","25",NA,"DAVID SHRIBMAN, Special to the New York Times"
"258","278","AROUND THE WORLD;","1982","November","25",NA,NA
"259","526","Making Jobs - and Saving Them","1982","November","25",NA,NA
"260","886","MEXICANS OPPOSE U.S. ENTRY CURBS","1982","November","21",NA,"ROBERT PEAR, Special to the New York Times"
"261","1754","THEY LOVED NEW YORK","1982","November","21",NA,"Edward Hoagland; Edward Hoagland's ''Notes From the Century Before: A"
"262","176","AROUND THE NATION;","1982","November","14",NA,NA
"263","737","LATIN AMERICAN SCHOLAR FIGHTS TO STAY IN U.S.","1982","November","14",NA,NA
"264","759","FOREIGN SEAMEN ABANDONED ON DECREPIT SHIP","1982","November","14",NA,"The Associated Press"
"265","315","IDEAS & TRENDS;","1982","November","14",NA,NA
"266","639","STAGE: BRITISH 'TWO FISH IN THE SKY'","1982","November","8",NA,"FRANK RICH"
"267","721","TRIESTE HURT BY YUGOSLAVS' TRAVEL STRICTURES","1982","November","7",NA,NA
"268","194","AROUND THE NATION;","1982","November","1",NA,NA
